127.0.0.1, 2016-02-14 14:37:49, GET, /courses/course/col740/threads, HTTP/1.1, 200, 0.100000
127.0.0.1, 2016-02-14 14:37:54, GET, /default/notifications, HTTP/1.1, 200, 0.304000
127.0.0.1, 2016-02-14 14:37:58, GET, /default/index, HTTP/1.1, 200, 0.056000
127.0.0.1, 2016-02-14 14:38:01, GET, /courses/course/cop290, HTTP/1.1, 200, 0.075000
127.0.0.1, 2016-02-14 14:38:05, GET, /courses/course/cop290/assignments, HTTP/1.1, 200, 0.076000
127.0.0.1, 2016-02-14 14:38:05, GET, /courses/course/cop290/assignments, HTTP/1.1, 200, 0.068000
127.0.0.1, 2016-02-14 14:38:13, GET, /courses/assignment/2, HTTP/1.1, 200, 0.092000
127.0.0.1, 2016-02-14 14:38:39, GET, /courses/course/cop290, HTTP/1.1, 200, 0.076000
127.0.0.1, 2016-02-14 14:38:42, GET, /courses/course/cop290/assignments, HTTP/1.1, 200, 0.076000
127.0.0.1, 2016-02-14 14:38:47, GET, /courses/course/cop290/threads, HTTP/1.1, 200, 0.064000
127.0.0.1, 2016-02-14 14:38:51, GET, /courses/course/col740, HTTP/1.1, 200, 0.060000
127.0.0.1, 2016-02-14 14:38:53, GET, /courses/course/col740/threads, HTTP/1.1, 200, 0.232000
127.0.0.1, 2016-02-14 14:39:15, GET, /threads/thread/1, HTTP/1.1, 200, 0.080000
127.0.0.1, 2016-02-14 14:39:16, GET, /threads/comments.json, HTTP/1.1, 200, 0.068000
127.0.0.1, 2016-02-14 14:39:21, GET, /threads/comments.json, HTTP/1.1, 200, 0.063000
127.0.0.1, 2016-02-14 14:39:21, GET, /courses/course/col740/threads, HTTP/1.1, 200, 0.076000
127.0.0.1, 2016-02-14 14:39:26, GET, /threads/thread/1, HTTP/1.1, 200, 0.064000
127.0.0.1, 2016-02-14 14:39:26, GET, /threads/comments.json, HTTP/1.1, 200, 0.092000
127.0.0.1, 2016-02-14 14:39:31, GET, /threads/comments.json, HTTP/1.1, 200, 0.031000
127.0.0.1, 2016-02-14 14:39:33, GET, /threads/post_comment.json, HTTP/1.1, 200, 0.334000
127.0.0.1, 2016-02-14 14:39:36, GET, /threads/comments.json, HTTP/1.1, 200, 0.044000
127.0.0.1, 2016-02-14 14:39:38, GET, /courses/course/col740/threads, HTTP/1.1, 200, 0.164000
127.0.0.1, 2016-02-14 14:39:52, GET, /courses/course/col740/resources, HTTP/1.1, 200, 0.082000
127.0.0.1, 2016-02-14 14:40:02, GET, /courses/course/col740/assignments, HTTP/1.1, 200, 0.076000
127.0.0.1, 2016-02-14 14:40:08, GET, /default/index, HTTP/1.1, 200, 0.068000
127.0.0.1, 2016-02-14 14:40:09, GET, /default/grades, HTTP/1.1, 200, 0.068000
127.0.0.1, 2016-02-14 14:40:18, GET, /courses/course/csl859, HTTP/1.1, 200, 0.060000
127.0.0.1, 2016-02-14 14:40:20, GET, /courses/course/csl781, HTTP/1.1, 200, 0.200000
127.0.0.1, 2016-02-14 14:40:22, GET, /courses/course/csl732, HTTP/1.1, 200, 0.148000
127.0.0.1, 2016-02-14 14:40:24, GET, /default/grades, HTTP/1.1, 200, 0.056000
127.0.0.1, 2016-02-14 14:40:27, GET, /courses/course/col740, HTTP/1.1, 200, 0.068000
127.0.0.1, 2016-02-14 14:40:29, GET, /courses/course/cop290, HTTP/1.1, 200, 0.200000
127.0.0.1, 2016-02-14 14:40:41, GET, /courses/course/cop290/grades, HTTP/1.1, 200, 0.064000
127.0.0.1, 2016-02-14 14:40:47, GET, /courses/course/col740, HTTP/1.1, 200, 0.068000
127.0.0.1, 2016-02-14 14:40:49, GET, /courses/course/col740/grades, HTTP/1.1, 200, 0.076000
127.0.0.1, 2016-02-14 14:40:53, GET, /default/grades, HTTP/1.1, 200, 0.064000
127.0.0.1, 2016-02-14 14:41:03, GET, /, HTTP/1.1, 200, 0.112000
127.0.0.1, 2016-02-14 14:41:05, GET, /courses, HTTP/1.1, 200, 0.132000
127.0.0.1, 2016-02-14 14:41:12, GET, /courses, HTTP/1.1, 200, 0.084000
127.0.0.1, 2016-02-14 14:41:21, GET, /courses, HTTP/1.1, 200, 0.108000
127.0.0.1, 2016-02-14 14:41:21, GET, /MoodlePlus/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-02-14 14:41:21, GET, /MoodlePlus/static/css/bootstrap-theme.min.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-02-14 14:41:21, GET, /MoodlePlus/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2016-02-14 14:41:21, GET, /MoodlePlus/static/css/layout.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2016-02-14 14:41:21, GET, /MoodlePlus/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2016-02-14 14:41:21, GET, /MoodlePlus/static/css/calendar.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2016-02-14 14:41:21, GET, /MoodlePlus/static/js/jquery.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2016-02-14 14:41:21, GET, /MoodlePlus/static/js/calendar.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-02-14 14:41:21, GET, /MoodlePlus/static/js/web2py.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2016-02-14 14:41:21, GET, /MoodlePlus/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2016-02-14 14:41:21, GET, /MoodlePlus/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2016-02-14 14:41:21, GET, /MoodlePlus/static/js/share.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2016-02-14 14:41:24, GET, /courses/course/cop290, HTTP/1.1, 200, 0.077000
127.0.0.1, 2016-02-14 14:41:24, GET, /MoodlePlus/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-02-14 14:41:24, GET, /MoodlePlus/static/css/bootstrap-theme.min.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-02-14 14:41:24, GET, /MoodlePlus/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.005000
127.0.0.1, 2016-02-14 14:41:24, GET, /MoodlePlus/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.006000
127.0.0.1, 2016-02-14 14:41:24, GET, /MoodlePlus/static/js/calendar.js, HTTP/1.1, 200, 0.005000
127.0.0.1, 2016-02-14 14:41:24, GET, /MoodlePlus/static/js/jquery.js, HTTP/1.1, 200, 0.006000
127.0.0.1, 2016-02-14 14:41:24, GET, /MoodlePlus/static/css/calendar.css, HTTP/1.1, 200, 0.007000
127.0.0.1, 2016-02-14 14:41:24, GET, /MoodlePlus/static/js/web2py.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2016-02-14 14:41:24, GET, /MoodlePlus/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2016-02-14 14:41:24, GET, /MoodlePlus/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2016-02-14 14:41:24, GET, /MoodlePlus/static/js/share.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2016-02-14 14:42:09, GET, /user/logout, HTTP/1.1, 303, 0.190000
127.0.0.1, 2016-02-14 14:42:09, GET, /, HTTP/1.1, 200, 0.186000
127.0.0.1, 2016-02-14 14:44:05, POST, /default/login.json, HTTP/1.1, 200, 0.128000
127.0.0.1, 2016-02-14 14:45:26, POST, /courses/list.json, HTTP/1.1, 200, 0.060000
127.0.0.1, 2016-02-14 14:48:23, GET, /user/login, HTTP/1.1, 200, 0.096000
127.0.0.1, 2016-02-14 14:48:35, POST, /user/login, HTTP/1.1, 303, 0.348000
127.0.0.1, 2016-02-14 14:48:35, GET, /, HTTP/1.1, 200, 0.096000
127.0.0.1, 2016-02-14 14:48:39, GET, /courses/course/cop290, HTTP/1.1, 200, 0.064000
127.0.0.1, 2016-02-14 14:48:45, GET, /courses/course/cop290/assignments, HTTP/1.1, 200, 0.100000
